comment,level-1,level-2,level-3,Language_Category,
"Informative video👍👌👌 We have become Kerala fans for the below fascinating features of Kerala 🥰🥰 (Fyi, we shifted to Kerala about 5 years back, after living in Mumbai/Bangalore for almost 50 years. ) To all fans of Kerala (truly Gods own country)🥰🥰❣️ 1. Kerala literacy ✅ 2. Kerala natural beauty, truly magical✅ 3. Kerala people are very nice, courteous and helpful✅ 4. Kerala cleanliness ✅ 5. Kerala culture of religious harmony of Hindu, Muslim, Christian, others - really amazing harmony ✅.  Love to see  6. Kerala gender equality ✅ 7. Kerala income equality high, lowest poverty rate ✅ 8. Kerala farming techniques innovations ✅ 9. Kerala best healthcare ✅ 10. Kerala movies awesome ✅ 11. Kerala road discipline  ✅ 12. Kerala delicious food ✅ 13. Kerala has the highest life expectancy, lowest infant mortality ✅ 14. Kerala female foeticide - not prevalent.  Proof is, Kerala has the highest female ratio. 15. Only in Kerala you can see the  images/symbols of the 3 major Kerala religions often placed side by side in perfect harmony adorning restaurants, shops and even some homes 🥰🥰 16. Only in Kerala you find a very disciplined line  in front of a beverage shop, where even rowdies/gundas stand very obediently😅😅✅✅ 17. Last but not the least, Mallu gals, guys - mostly good looking, smiling pleasent face 😊😊 ✅",1,1,Kerala,English,
Kerala is called ‘Gods own country’ not because of the beauty of nature; there are thousands of better places in the world. The caption is based on ‘Theyyam’ art form where people play Demi-gods.,1,1,Kerala,English,
kerala the beatiful state is destroied by the ruling parasit communist party.,1,2,Kerala,English,
"Ofcourse, Kerala is one the best states in India. In many counts kerla tops among Indian states, such as education, health, hygiene and sanitation, social harmony and standard of living. Women of kerala are most educated among Indian states. It does have some prestigious Universities. It is the state with most natural beauty. Its infrastructure is outstanding. Kerala is the cradle of Ayurved.  Kerala is also known for its martial arts.",1,1,Kerala,English,
"Kerala is beautiful but its a underdeveloped and a scrubby state in India. Still holding 80’s infrastructure and moronic believe system of commism, along with that its an epicentre of neopotism, corruption, even of appeasing j-h-adis. Similar to cuba, if its not in India, even Cuba will be better than this state.",1,2,Kerala,English,
Kealam is not God's country... The heart of the earth... Without communism and fucking murolity peoples...,1,1,Kerala,English,
"All Keralite girls, love Gold,consumption.depends on the capacity to buy only !",1,1,Kerala,English,
Kerala is beautiful because kerala rejected bjp😂 whenever kerala going to accept bjp the downfall starts,1,1,Kerala,English,
Kerala is one of the best states but there are so many heaven like places are in india. Visit each and every corner of india which is different from eachother and all around you will find lovely people also❤,1,1,Kerala,English,
Now kerala has more North Indian than kerala people. So in future south India including kerala will look bad and dark and unbearable 😢.,1,2,North-India ,English,
Kerala is gods own country because of the unity of the people all religious community live together peacefully and friendly..its a place where you can see a temple church mosque bulit in nearer and friendly with each other and also its natural beauty also contribute to the title ...its not related to religiouly stories...,1,1,Kerala,English,
"Kerala is still high in terrorism, drug mafia, love jihad, dirty politics, etc.. Thats the real inside of present kerala🥴but you may cant see it at one glance. Look in deeper.. I am keralite. I knew it well",1,3,Kerala,English,
Kerala People very lovely and friendly all kinds of tourists and  keep his culture and status though lot of foreign tourists travel across villages/citys without feare❤,1,1,Kerala,English,
"Here are some of the biggest differences between Kerala and North India:  1) Uniformity in development and opportunity for growth. Just compare a village in Kerala, and  a village in Gujarat.   2) Less Caste/religious discrimination.  In Kerala, while inter-caste and inter-religious marriages are still infrequent, but other than that, caste/religion is not an issue at all. While in North India, where-ever I have gone, I have been asked 'my full name' just for them to understand what my caste is.  They can't seem to understand that most Keralites had shed their caste name tails, a long time ago.  3) Political awareness. People-worshipping, vote bank politics, and religious hatred simply do not bring in much vote here.  However, there are some negative points about Kerala too: 1) An absolute lack of care for the environment, forests and natural resources. 2) Lack of industries.",1,2,"Kerala, North-India",English,
"Kerala is number ONE in exporting islamic terrorists from india to Islamic State. The political system in Kerala is always supports islamic extimism because of fast growing muslim population. Within the next decade after jammu kashmir, kerala will be a muslim majority state. Appeasement politics kills this state.",1,3,Kerala,English,
Boycott Karnataka and Tamilnadu for us India first let them learn Urdu like kashmir and west Bengal. People themselves appointmented fool's as CM. Why should we care for them its there choice😂😂😂. India first,1,3,"Karnataka, Kerala",English,
"South people by birth brainwashed for anti Hindi, for no reason but anti Hindi.  Still living in tribal age.",1,2,South-India,English,
"I don't understand what Kannadigas are so arrogant about. You sick people have created this unnecessary havoc about the language. I mean you people are either really dumb or just ignorant about the fact that India has two official languages English and Hindi. However India has no national language. And learning a language should be a personal interest not an impulsion. You people act as if karnataka is one separate nation. The day you make karnataka one separate nation till then you people have no rights to tell anybody whether they can come to karnataka or not. Kannadigas who are living outside were not forced to learn Hindi they felt the need so they've learned it. I have been in Bengaluru for almost 12 yrs. And I have gone through discrimination on numerous occasions even though I knew kannada in bits and pieces, because I was learning at that time. You people talk about respect and acceptance. But firstly you people should start accepting your indian fellow mates from different states and start respecting them. 😏",1,2,Karnataka,English,
"One right case in millions of fake case.  Kannadigas dont hate hindi its just a language.  What we hate is bad behavior, worst manners, fake language pride of North indian ppl.  They came here for living, they earning their bread n butter along with all other ppl, but very bad attitude, too much aggressive",1,2,North-India,English,
"Kannada people are so bad, and also Tamil people and also marathi people and also telgu people, but hindi people are sooooo good🥲",1,2,"Karnataka, Tamil Nadu, Maharashtra, Andhra Pradesh, Telangana",English,
North indian have learn to respect ! They just cant come n show attitude,1,2,North-India,English,
"Bro seriously, those mfs from north come to Namma Bengaluru in search of their livelihood , and it’s just a basic ethics to respect the language we talk in Bengaluru , if u don’t have ethics or if ur not born to 2 fathers u will have this kind a attitude towards our Language   And this actor he just need to respect the language ! Rishab Shetty introduced him as kannadiga not as a south actor !",1,2,North-India,English,
"The attitude & Behaviour of North Indians are similar to British in precolonial Era. First, they settle, then bring their families, relatives (no problem with this) but then, they start portraying that they're doing a favour to South Indians by staying in south Indian cities, they explode on locals and create an atmosphere that those who don't speak their language are Anti - nationals. They claim they built South India. At least, Brits Prioritized local language by learning & speaking it, these arrogant Northies abuse & exploit South Indians with Language & Religion wars. They Triggered Linguistic war in Tamil Nadu, Karnataka & now in Maharashtra, but still remains as Victims of violence created by their own people. The Term Northies here doesn't apply to UP, Biharis. It only belongs to Delhiwalas. UP & Biharis are poor labours who go to earn food & have a better lifestyle.",1,2,"North-India, Delhi, Uttar Pradesh, Bihar",English,
Nothing..... control your attitude northies..... everything will be fine😂,1,2,North-India,English,
"South Indians are smarter and more cultured than North Indians. South Indians are fluent in all languages and can understand Hindi as well but these North Indians they are so ignorant they don’t know the names of southern states and their languages, their history though it is part of India. Though North Indians have nothing to feel proud of they are racist. They have to learn and adapt so many things from South Indians. Their culture is deteriorating because of Bollywood and other influences.",1,2,"North-India, South-India",English,
North people love Bangalore but refuse to communicate in native language  and argue with locals saying that hindi is national language hence kannadigas should talk with them in hindi,1,2,North-India,English,
"If North Indians hv soo much prblm with kanada , stay away frm karnataka",1,2,North-India,English,
Kannadigas never start fight one should understand this if someone throws unecessary attitude which is cringe we will just show their place that's it Kannada issue started by Cringe North Indians not by us,1,2,North-India,English,
Northies the best thing you can do to avoid all these problems is stay in your own States and beg in your own States..,1,2,North-India,English,
North Indians are reluctant to learn local language ... If they respect local culture and language problem solved ..,1,2,North-India,English,
I don't accept his words... North people behave so rudely and shame less on roads with odd behaviours. Why should we tolerate north people attitudes and dominant attitude living in our place,1,2,North-India,English,
"North Indians especially up/biharis have problem with Marathi,Kannada instead of focusing on education,learning new language…it’s a problem with their menatility , uneducated buggers..it’s high time Karnataka should implement 2 language policy like Tamilians",1,2,"North-India, Uttar Pradesh, Bihar",English,
Kannada people hate Hindi by default,1,2,Karnataka,English,
This asshole is telling one side of story.. hindi speaking people show such arrogance in bangalore they truly deserve whats happening..,1,2,North-India,English,
This language issue started because of the sick attitude of North Indians who settled in bangalore. They were acting as if Hindi was the National language and demanding kannadigas to learn Hindi. Since last 5 years people have realised that Hindi is not a National language and are turning up against North Indians. That's all,1,2,North-India,English,
"North Indians think that the history of India is only the history of North India, we have a separate history.Our own history, our own language, our own food habits, our own culture, our own 5000 years of history.",1,2,North-India,English,
Kannadigas are most racist people in India.   Nobody in north ever beats up innocent people who can not speak Hindi or Punjabi or Haryanvi.   Only people of TN and Karnataka are hostile and racist. Perhaps their culture teaches them hate and racism.,1,3,Karnataka,English,
"Karnataka & Maharashtra are loser states, our army is fighting for us at the borders, and these losers are fighting the army in the state.",1,2,"Karnataka, Maharashtra",English,
"North sr nahi unko Marathi, Malyalam,Telugu , Tamil, Konkani, Tulu, Kodava sabse problem hain sorf Hindi se nahi...😂😂😂😂 i have never seen such Jhagdalu people in bulk in my life....",1,2,North-India,English,
Shame on these Kannada peoples,1,2,Karnataka,English,
"North Indians should understand that, -India is a union of states.   -Not all of Indian states native/administrative language is Hindi, Hindi is also one of the local language in India.  -Hindi is one of the official language for union Govt meeting purpose with English as well.  -Hindi is foreign language and non-native language to south india.  -Karnataka's native and administrative language is Kannada, same as tamil for tamil nadu, malayalam for kerala, telugu for Andra.",1,2,North-India,English,
"this is for folks from the Hindi belt and the BIMARU states  and got this in Quora.   This is the tragedy of Indian demo-craZy!  All ILLITERATE Hindiwalas, panwalas, panipuriwalas, chaddiwalas, chaiwalas, pakodawalas, securitywalas have become LĀLĀS of this country today just because North has a higher population than South.  North India makes up some 77% of India’s total population. The Northern Hindi states send 43% representation to Lok Sabha. The additional 7.1% (38 seats) needed to form a ‘simple majority’ is easily achieved by co-opting some legislators from Maharashtra, Gujarat, Bihar, Assam, Bengal or Punjab etc.,.  Since, North has proximity to power in Delhi, the political capital of India, and it makes up the majority, the South Indians are virtually ‘TOOTHLESS’ in their ability to form a government at Delhi. all such narratives that “North is the cultural capital of India, North Indians are elite, North Indians are rich, North Indians are superior to South Indians” etc.. are propagated by North Indians and so called national parties. Jingoism like Hindi Hindu Hindustan is the common parlance. Not knowing Hindi is considered to be a traitor of India.   Now my comments   Northies support lawlessness and think it’s a fashion to break the law. When questioned other issues are brought up.   Ignorance of law is no excuse in any part of the civilised world. This act of peeling a sticker is an act of “vandalism”.   Not having put Kannada in the billboard is a violation of the local law. But no you won’t question as to why the law in the first place was brazenly violated. You will raise your voice against those who want all to follow the law.   Similarly you skirt the issue of why Hindi in Bangalore when the local language is Kannada. Hindi does not even figure in the top 6 most spoken languages in Bangalore but yet you want Hindi to be on the billboards. Aren’t the others citizens of this country???  Even god can’t help Hindi wallahs. You all are a gone case. Good luck",1,3,North-India,English,
99.percent people are kalo ba. No water in bengaluru. Skin black kalo ba,1,3,Karnataka,English,
I don't understand why these north indian people misbehave. Why can't they respect local language and local people either its a auto driver or whoever it may be.  Whether they can behave same way if they go to china or Russia? Whether they will ask chinese or Russian to speak in hindi?,1,2,North-India,English,
Banglore is not for North Indians .. We should remain in our lovely hometowns .,1,2,North-India,English,
The audacity of northies is they want job food water safe living everything from here and fail to learn the local language…won’t they learn French if they are in France…instead of arguing and making it look so dramatic…just humble request please get lost to your own ratholes and dungeon wherever you come from and make it a better place to live…rather than wasting you precious talent here on blaming local s for speaking their own mother tongue….Bangalore won’t perish if you leave,1,2,North-India,English,
So we have to learn hindi to make you comfortably settle down in karnataka and we have to learn hindi and stand up to give seat for you in bus.. what a illogical humans these north Indians are..,1,2,North-India,English,
"South people are so bad, its my personal experience that i experienced in Bangalore",1,2,South-India,English,
Kannadigas are far better than tamilians,1,1,Tamil Nadu,English,
KANNADIGAS ARE RACIST!!!,1,3,Karnataka,English,
Typical Northy attitude if u feel bad dont come to south 😂😂 Just learn south languages then come to south otherwise stay at model gutka north states😂😂,1,2,North-India,Code-Mixed,Hinglish
"North Indians have migrated here in large numbers & harassing all Kannadigas to forcibly learn Hindi, they torture us & make video when we respond to them in Kannada, cause we obviously don’t know Hindi that much. It’s not our language. We have Telugites, Malayalis, Tamilians, Marwadis & Gujaratis living in Bengaluru from past 50 years they are not forcing or torturing us like Hindi Speakers.",1,2,North-India,English,
"If North Indians hv soo much prblm with kanada , stay away frm karnataka . Don't cm nd spoil our culture , stay away  As simple as dat 😊",1,2,North-India,English,
"The narcissist attitude of the North Indians is really dangerous to the diversity.. India, is union of states  . Don't impose any language to others... Language is integral part of a culture.. we better no why pakistan was broken into 2 pieces just because of language... So , Hindi speakers get off your dominant mentality",1,2,North-India,English,
There are bad people on both sides. Some north indians are just rude while some Kannada people just play Kannada card when they cant fight or when they want to extort money. Mostly its the latter,1,2,"North-India, Karnataka",English,
"Bangalore is well respected for its intellectuality and friendliness,all these happens once in a while ....as a person from other  state who made Bangalore second home its sad we always focus on negative and unnecessary things ....TBH Bangalore is one of the best cities becoming crowded day by day but still one of  the best ...",1,1,Karnataka,English,
Speaking in regional language is a sign of showing respect to the local people and state. These gutka walas of North India are  disgrace to our country 😂. These idiots only understand language of violence.,1,2,North-India,Code-Mixed,Hinglish
Marathi 🟰 desh ko todne wala deshdrohi,1,2,Maharashtra,Code-Mixed,Hinglish
"Maharashtra ke log lagta hai pagal ho gaye hai, joh desh ko batne ka kaam kar rahe hai",1,2,Maharashtra,Code-Mixed,Hinglish
Maharashtra Jaane Kay liye Ab ticket kay saath IELTS kay waisa (Marathi Language Test System) bhi deyna hoga 🙆‍♂️😝🤣,1,2,Maharashtra,Code-Mixed,Hinglish
"Marathi language menace is anti national anti india , book them under UAPA. A DANGER TO THE INTEGRITY OF INDIA. YEH DO GUNDE APNI POLITICS KE KIYE DESH KI EKTA KO KHATRE ME DAAL RAHE HAI",1,3,Maharashtra,Code-Mixed,Hinglish
Arrogant hindi belt people.  Go to Hindi belt and peep,1,2,North-India,English,
"Some faakin marathis and kannadigays are making a mess out here in this country, on top of all the mess that is aleady present.",1,2,"Maharashtra, Karnataka",English,
"Yeh marathi log alag desh mangenge aur visa chalu karva yenge, BJP koi action nahi le rahi in gundo pe.",1,2,Maharashtra,Code-Mixed,Hinglish
"Look at the arrogance of Hindian, obviously he will get the right treatment",1,2,North-India,English,
"Marathi manus are illiterates. World is going forward, they going backwards.",1,2,Maharashtra,English,
North Indians destroying india,1,2,North-India,English,
"These marathis weee historic dacoits, only emperor Aurangzeb taught them a lessonein the language they understood.",1,2,Maharashtra,English,
Maharashtrians are losing their common sense day by day.,1,2,Maharashtra,English,
These Marathis people are only jealous of other people  doing business in Mumbai. And that's why  they are such stupid act.,1,2,Maharashtra,English,
Marathi log pagal ho gaya sala..north east kabhi ghumne aao aisa language sikhaunga..nani yaad aa jayegi,1,2,Maharashtra,English,
maharastra is becoming mini pakistan .. i gusss it will be all india state vs Maharashtra mini pakistan .. maharastra people i guess u will be in trouble if u travel to other state if this continues...,1,3,Maharashtra,English,
Marathi dalla of Mughals...,1,2,Maharashtra,English,
"I am requesting to hindi bhasi states please boycott marathi products and banking services.... No minirals for maharastra.... Need to move e from Maharashtra to mother land, nd stop to use any banking services which belongs to Maharashtra.....",1,3,Maharashtra,English,
Jharkhand koyala dena band kar de na to maharashtra k log ki pant mein susu aa jaygi,1,2,Maharashtra,English,
Kya bhikari culture hai in Marathi/Kannada ka....  Sara din bheek mante hai. Inke life main ek hi mission hai. Duniya bhar ke logo se Marathi/Kannada bulwana  In Marathi aur Tamil/Kannada se gira hua log shayad duniya main koi aur hoga.,1,2,"Maharashtra, Karnataka, Tamil Nadu",Code-Mixed,Hinglish
Shame on marathi people,1,2,Maharashtra,English,
Marathi Apne hi per par khuladi Marne wale hai. Agar ye sab chakta Raha to . Mumbai me jo  Marathi bolte hai wo bhi bandh ho jayegi 😂😂😂. AUR ye Marathi Kuch kar bhi nahi payenge.,1,2,Maharashtra,Code-Mixed,Hinglish
"Maharashtra soon going into dump, if not controll this...I will wish to join any Hospital in Maharastra despite high salary and demand..",1,2,Maharashtra,English,
"Kitni gandi jagah hai Maharashtra mujhe lagta tha ki Bihar mein chori jayada hota hai. Chalti train mein ya din dahare road per kisi ko bhi maar dete Hain. Lekin UP Bihar mein Bhasha ko lekar kabhi vivad nahin hua. Kisi dusre state ke prati. Yahan per bhi Kerala Tamilnadu Chennai Maharashtra ke bande kam karte Hain. Lekin unko Bhojpuri nahin aati, kitne respect se unse baat karte hain. Mujhe bahut shauk tha ki main apne Parivar ke sath Maharashtra mein Siddhivinayak mandir, sai Baba ke darshan ke liye jaunga. Lekin man chudao tum apni gandi soch par. Ek Veer Shivaji the Jo akhand Bharat ke liye apna sab kuchh dav per Laga Diya.",1,2,Maharashtra,Code-Mixed,Hinglish
Marathi terrorist 😂,1,3,Maharashtra,English,
Marathi hizre ki aulaad aaaaa thuuuuu,1,3,Maharashtra,Code-Mixed,Hinglish
Maharashtra jaise illiterate or rude states mai kyon jaate ho,1,2,Maharashtra,Code-Mixed,Hinglish
In Marathi gaddar deshdrohi gundo ka ilaz jaruri hai,1,3,Maharashtra,Code-Mixed,Hinglish
Aak thu marathi manush,1,2,Maharashtra,Transliterated,
Sara desh thukta hai marathi manush pe,1,2,Maharashtra,Transliterated,
Nalayak marathi manush,1,2,Maharashtra,Transliterated,
Saare desh ke nishane pe hai marathi ghaati,1,2,Maharashtra,Transliterated,
Abb saare desh ka nafrat jhelega marathi bhaduva,1,2,Maharashtra,Transliterated,
Nalayak marathi,1,2,Maharashtra,Transliterated,
Marathi bhadua,1,2,Maharashtra,Transliterated,
"It's North Indian attitude that sees themselves as rulers or first-class citizens, assuming that Hindi is the national language and must be spoken everywhere in India. Yet, ironically, many of them make little to no effort to learn or respect the local languages of the regions they move to.",1,2,North-India,English,
SO CALLED EDUCATED MARATHI GAWARS😂,1,2,Maharashtra,Code-Mixed,Hinglish
"𝐘𝐡 𝐦𝐚𝐫𝐚𝐭𝐡𝐢 𝐥𝐠 𝐤𝐲𝐚 𝐩𝐚𝐠𝐚𝐥 𝐰𝐚𝐠𝐚𝐥 𝐡𝐨 𝐠𝐚𝐞 𝐤𝐲𝐚,, 𝐝𝐢𝐦𝐚𝐠 𝐤𝐚 𝐤𝐨𝐢 𝐡𝐢𝐬𝐬𝐚 𝐝𝐡𝐢𝐥𝐚 𝐡𝐨 𝐠𝐲𝐚 𝐡 𝐲𝐡 𝐥𝐠 𝐤𝐚,, 𝐩𝐚𝐫𝐞𝐬𝐚𝐧 𝐚𝐭𝐦𝐚 sb😡😡😡",1,2,Maharashtra,Code-Mixed,Hinglish
Marathi ke name pe terrorist activity se kam nahin hai ye.,1,3,Maharashtra,Code-Mixed,Hinglish
Ye chhparis marathi adivasis Jhaatu logon ko kuch kaam dhanda nahi hai 😂,1,3,Maharashtra,Transliterated,
maharashtra is a state of bloody illiterates,1,2,Maharashtra,English,
Chutya Marathi and Kanadiga,1,2,"Maharashtra, Karnataka",Code-Mixed,Hinglish
Marathi people are so useless. They think it is French or German so one should learn 😂was in pune faced this bullshit in college,1,2,Maharashtra,English,
Marathi language tatti hai.    Nahi bolenge.,1,2,Maharashtra,Code-Mixed,Hinglish
Ye kyaa chal raha hai maharshtra maine pagal ho gaye kuch log ye unpaad aur gunde log hai 😡😡,1,2,Maharashtra,Transliterated,
MAHARASHTRA    &     KARNATAKA    ppl are the same. They dont care about India they only care about themselves. They forget the infinite indians that make their state great. They are Indians first and LOCAL second......  If being Indian is insufficient for them then they need to get out of India  PLEASE!!,1,2,"Maharashtra, Karnataka",English,
Hindi speaking people doesn't respect other languages that is very sad😢 racism starts from language,1,3,North-India,English,
Maharashtra🤮  Already getting an ick I see lot of Maharashtrian in my and many other states Never have we forced them or any other people to speak a language Such an ick  People spoke about islam These people are equally idiotic,1,2,Maharashtra,English,
Marathis are making joke of themselves 😅😅😅 incompetente thugs😂😂,1,2,Maharashtra,English,
marathi hijada ho gaya 😢😢,1,2,Maharashtra,Transliterated,
Yr ye marathi wale ko sabak tu sikhana hoga.ek kaam kro sb marthi speaking bihar aajao sbko unch level ka marathi bihari sikayunga.,1,2,Maharashtra,Code-Mixed,Hinglish
Maharashtra isme hi finish ho jayega.saraa investment dusre states me shift ho jayega agar yahi attitude rahaa too,1,2,Maharashtra,Code-Mixed,Hinglish
Marathi hona achi baat hai lekin marathi hoke ye chutiapa karna bekaar hai  shame on such marathi,1,2,Maharashtra,Code-Mixed,Hinglish
Marathi people as WELCOMING as ever,1,1,Maharashtra,English,
BEING ILLETERATE IS EQUALS BEING BLIND . 😂 . first India has no national language so everyone has right to speak their own known language . MARATHIS AND KANNADIANS AND TAMILIANS SHOULD NOT IMPOST ANYONE  TO SPEAK THEIR MOTHER TONGUE .BEING LITERATE YOURSELF 😂,1,2,"Maharashtra, Tamil Nadu, Karnataka",English,
